"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2014","75.83","77.14","77.48","75.60","32.39M","-1.11%"
"Sep 02, 2014","76.68","75.01","76.70","74.82","34.98M","2.49%"
"Aug 29, 2014","74.82","74.30","74.82","74.01","26.24M","1.30%"
"Aug 28, 2014","73.86","74.00","74.43","73.73","21.95M","-1.03%"
"Aug 27, 2014","74.63","75.27","75.49","74.46","36.32M","-1.75%"
"Aug 26, 2014","75.96","75.00","75.99","74.73","23.99M","1.25%"
"Aug 25, 2014","75.02","74.94","75.28","74.79","19.73M","0.60%"
"Aug 22, 2014","74.57","74.34","74.73","73.57","20.90M","0.00%"
"Aug 21, 2014","74.57","74.92","75.19","74.41","20.10M","-0.32%"
"Aug 20, 2014","74.81","74.97","75.18","74.62","22.92M","-0.64%"
"Aug 19, 2014","75.29","74.81","75.58","74.51","26.68M","0.94%"
"Aug 18, 2014","74.59","74.00","74.72","73.96","23.97M","1.30%"
"Aug 15, 2014","73.63","74.32","74.65","73.00","38.91M","-0.90%"
"Aug 14, 2014","74.30","73.97","74.38","73.69","22.21M","0.72%"
"Aug 13, 2014","73.77","73.12","74.25","73.05","29.27M","1.29%"
"Aug 12, 2014","72.83","73.09","73.33","72.22","27.42M","-0.83%"
"Aug 11, 2014","73.44","73.46","73.91","73.06","24.59M","0.52%"
"Aug 08, 2014","73.06","73.40","73.43","72.56","27.20M","-0.15%"
"Aug 07, 2014","73.17","73.00","74.00","72.70","38.14M","0.97%"
"Aug 06, 2014","72.47","72.02","73.72","71.79","30.99M","-0.30%"
"Aug 05, 2014","72.69","73.20","73.59","72.18","34.99M","-1.12%"
"Aug 04, 2014","73.51","72.36","73.88","72.36","30.78M","1.59%"
"Aug 01, 2014","72.36","72.22","73.22","71.55","43.54M","-0.40%"
"Jul 31, 2014","72.65","74.00","74.17","72.44","43.99M","-2.72%"
"Jul 30, 2014","74.68","74.21","75.19","74.13","36.85M","1.32%"
"Jul 29, 2014","73.71","74.72","74.92","73.42","41.32M","-1.62%"
"Jul 28, 2014","74.92","75.17","75.50","73.85","41.73M","-0.36%"
"Jul 25, 2014","75.19","74.99","75.67","74.66","45.92M","0.28%"
"Jul 24, 2014","74.98","75.96","76.74","74.51","124.17M","5.18%"
"Jul 23, 2014","71.29","69.74","71.33","69.61","78.43M","2.92%"
"Jul 22, 2014","69.27","69.76","69.77","68.61","40.40M","-0.19%"
"Jul 21, 2014","69.40","68.81","69.96","68.50","49.54M","1.43%"
"Jul 18, 2014","68.42","66.80","68.46","66.16","42.46M","3.03%"
"Jul 17, 2014","66.41","67.03","67.85","66.04","38.19M","-1.85%"
"Jul 16, 2014","67.66","67.54","67.94","67.07","29.59M","0.73%"
"Jul 15, 2014","67.17","67.96","68.09","66.26","44.29M","-1.08%"
"Jul 14, 2014","67.90","67.13","68.17","66.90","38.54M","2.35%"
"Jul 11, 2014","66.34","65.28","66.59","64.79","39.21M","2.27%"
"Jul 10, 2014","64.87","63.31","65.34","63.05","44.42M","-0.15%"
"Jul 09, 2014","64.97","63.41","65.12","63.15","51.43M","3.52%"
"Jul 08, 2014","62.76","65.06","65.56","62.21","68.93M","-3.88%"
"Jul 07, 2014","65.29","66.30","66.57","65.12","28.75M","-1.51%"
"Jul 03, 2014","66.29","66.86","67.00","65.76","25.20M","-0.24%"
"Jul 02, 2014","66.45","68.04","68.30","65.79","41.90M","-2.37%"
"Jul 01, 2014","68.06","67.58","68.44","67.39","33.24M","1.14%"
"Jun 30, 2014","67.29","67.46","67.92","67.13","27.20M","-0.46%"
"Jun 27, 2014","67.60","67.31","67.70","66.84","46.46M","0.70%"
"Jun 26, 2014","67.13","68.00","68.00","66.90","47.71M","-0.46%"
"Jun 25, 2014","67.44","65.58","67.48","65.57","44.31M","2.62%"
"Jun 24, 2014","65.72","65.36","67.17","65.27","57.33M","0.54%"
"Jun 23, 2014","65.37","64.32","65.66","64.22","34.56M","1.35%"
"Jun 20, 2014","64.50","64.46","64.81","63.35","46.47M","0.25%"
"Jun 19, 2014","64.34","65.46","65.58","64.21","34.25M","-1.92%"
"Jun 18, 2014","65.60","64.49","65.75","64.05","35.57M","1.86%"
"Jun 17, 2014","64.40","64.10","64.88","63.93","27.71M","0.33%"
"Jun 16, 2014","64.19","64.16","64.88","63.75","31.05M","-0.48%"
"Jun 13, 2014","64.50","64.70","64.97","63.83","29.42M","0.33%"
"Jun 12, 2014","64.29","65.85","66.47","64.06","55.73M","-2.27%"
"Jun 11, 2014","65.78","65.32","65.80","64.90","44.24M","0.02%"
"Jun 10, 2014","65.77","63.53","65.82","63.50","69.34M","4.60%"
"Jun 09, 2014","62.88","62.40","63.34","61.79","37.62M","0.61%"
"Jun 06, 2014","62.50","63.37","63.48","62.15","42.44M","-1.09%"
"Jun 05, 2014","63.19","63.66","64.36","62.82","47.35M","-0.24%"
"Jun 04, 2014","63.34","62.45","63.59","62.07","36.51M","0.75%"
"Jun 03, 2014","62.87","62.62","63.42","62.32","32.22M","-0.33%"
"Jun 02, 2014","63.08","63.23","63.59","62.05","36.00M","-0.35%"
"May 30, 2014","63.30","63.95","64.17","62.56","45.28M","-0.83%"
"May 29, 2014","63.83","63.84","64.30","63.51","42.70M","0.50%"
"May 28, 2014","63.51","63.39","64.14","62.62","47.80M","0.05%"
"May 27, 2014","63.48","61.62","63.51","61.57","55.68M","3.47%"
"May 23, 2014","61.35","60.41","61.45","60.15","38.29M","1.37%"
"May 22, 2014","60.52","60.94","61.48","60.40","54.20M","0.05%"
"May 21, 2014","60.49","58.56","60.50","58.25","58.99M","3.30%"
"May 20, 2014","58.56","59.50","60.19","58.18","53.93M","-1.10%"
"May 19, 2014","59.21","57.89","59.56","57.57","43.03M","2.05%"
"May 16, 2014","58.02","58.31","58.45","57.31","47.93M","0.17%"
"May 15, 2014","57.92","59.26","59.38","57.52","56.81M","-2.21%"
"May 14, 2014","59.23","59.53","60.45","58.95","47.43M","-1.00%"
"May 13, 2014","59.83","59.66","60.89","59.51","48.53M","0.00%"
"May 12, 2014","59.83","57.98","59.90","57.98","48.58M","4.52%"
"May 09, 2014","57.24","56.85","57.65","56.38","52.58M","0.85%"
"May 08, 2014","56.76","57.23","58.82","56.50","61.25M","-1.10%"
"May 07, 2014","57.39","58.77","59.30","56.26","78.59M","-1.95%"
"May 06, 2014","58.53","60.98","61.15","58.49","55.90M","-4.39%"
"May 05, 2014","61.22","59.67","61.35","59.18","46.06M","1.26%"
"May 02, 2014","60.46","61.30","61.89","60.18","54.19M","-1.13%"
"May 01, 2014","61.15","60.43","62.28","60.21","82.43M","2.29%"
"Apr 30, 2014","59.78","57.58","59.85","57.16","76.09M","2.80%"
"Apr 29, 2014","58.15","56.09","58.28","55.84","75.56M","3.58%"
"Apr 28, 2014","56.14","58.05","58.31","54.66","107.76M","-2.72%"
"Apr 25, 2014","57.71","59.97","60.01","57.57","92.50M","-5.19%"
"Apr 24, 2014","60.87","63.60","63.65","59.77","138.77M","-0.80%"
"Apr 23, 2014","61.36","63.45","63.48","61.26","96.56M","-2.65%"
"Apr 22, 2014","63.03","62.65","63.44","62.22","60.63M","2.92%"
"Apr 21, 2014","61.24","59.46","61.24","59.15","60.36M","3.90%"
"Apr 17, 2014","58.94","59.30","60.58","58.72","88.04M","-1.31%"
"Apr 16, 2014","59.72","59.79","60.19","57.74","78.77M","1.07%"
"Apr 15, 2014","59.09","59.29","59.68","55.88","108.62M","0.34%"
