"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.01.2009","20.280,49","20.369,23","20.494,03","19.716,77","224,77M","-0,44%"
"14.01.2009","20.369,23","21.047,30","21.047,30","20.303,29","159,75M","-3,22%"
"13.01.2009","21.047,30","21.161,70","21.285,59","20.866,06","133,31M","-0,54%"
"12.01.2009","21.162,27","21.741,29","21.744,48","21.019,23","143,96M","-2,66%"
"09.01.2009","21.741,29","21.962,12","22.040,20","21.654,90","127,10M","-0,98%"
"08.01.2009","21.955,40","22.116,80","22.116,80","21.660,11","168,76M","-0,73%"
"07.01.2009","22.117,51","22.992,71","22.992,71","22.107,60","144,40M","-3,86%"
"06.01.2009","23.005,41","23.238,86","23.489,77","22.886,21","213,10M","-1,00%"
"05.01.2009","23.238,86","23.250,96","23.483,54","23.190,26","190,38M","-0,05%"
"02.01.2009","23.250,96","22.380,32","23.302,06","22.331,40","107,07M","3,89%"
"31.12.2008","22.380,32","22.419,71","22.660,59","22.368,00","64,37M","-0,18%"
"30.12.2008","22.420,01","22.398,76","22.516,74","22.128,65","71,00M","0,12%"
"29.12.2008","22.392,38","22.515,34","22.571,03","22.290,88","69,37M","-0,55%"
"26.12.2008","22.515,34","22.339,04","22.543,34","22.249,28","36,66M","0,78%"
"24.12.2008","22.340,70","22.167,08","22.453,51","22.141,35","31,61M","0,75%"
"23.12.2008","22.174,26","22.059,18","22.393,87","22.053,95","109,51M","0,52%"
"22.12.2008","22.059,18","22.221,64","22.282,93","21.923,10","93,40M","-0,73%"
"19.12.2008","22.221,64","22.308,91","22.545,16","21.979,54","225,73M","-0,56%"
"18.12.2008","22.347,17","22.572,50","23.098,15","22.334,75","200,05M","-1,00%"
"17.12.2008","22.572,50","22.032,78","22.583,85","21.904,89","245,71M","2,45%"
"16.12.2008","22.032,54","21.050,55","22.095,14","21.017,87","289,31M","4,66%"
"15.12.2008","21.050,55","21.374,87","21.476,96","21.039,11","184,49M","-1,67%"
"11.12.2008","21.408,35","21.639,63","21.831,16","21.305,63","176,93M","-1,30%"
"10.12.2008","21.689,84","21.459,80","21.991,01","21.424,76","238,22M","1,17%"
"09.12.2008","21.439,65","21.164,74","21.632,29","20.978,37","242,54M","1,28%"
"08.12.2008","21.168,72","20.083,87","21.192,39","20.083,87","279,85M","5,41%"
"05.12.2008","20.081,83","19.915,85","20.082,59","19.440,54","157,88M","0,83%"
"04.12.2008","19.916,21","20.147,01","20.266,35","19.901,65","176,71M","-1,15%"
"03.12.2008","20.147,01","19.801,95","20.277,10","19.493,86","148,34M","1,74%"
"02.12.2008","19.802,27","19.547,58","19.819,63","19.499,75","134,70M","1,38%"
"01.12.2008","19.533,08","20.514,56","20.514,56","19.532,40","159,84M","-4,88%"
"28.11.2008","20.534,72","20.202,20","20.549,55","20.021,15","135,16M","1,65%"
"27.11.2008","20.201,82","20.026,21","20.223,03","19.888,64","54,81M","0,88%"
"26.11.2008","20.025,79","19.297,21","20.062,47","19.028,19","192,48M","3,77%"
"25.11.2008","19.297,63","19.545,68","19.709,45","18.982,84","258,17M","-1,19%"
"24.11.2008","19.529,25","18.251,41","19.573,01","18.251,41","215,59M","7,00%"
"21.11.2008","18.251,41","18.190,70","18.453,30","17.942,97","141,27M","0,33%"
"20.11.2008","18.190,70","18.578,38","18.745,60","18.012,36","157,98M","-2,09%"
"19.11.2008","18.578,38","19.035,93","19.039,07","18.558,37","165,01M","-2,41%"
"18.11.2008","19.036,23","19.562,14","19.562,14","18.833,43","220,41M","-2,69%"
"14.11.2008","19.562,14","19.710,85","19.918,49","19.292,25","205,17M","-0,75%"
"13.11.2008","19.710,10","18.804,95","19.710,84","18.220,66","257,77M","4,81%"
"12.11.2008","18.804,95","19.781,80","19.781,80","18.804,95","161,14M","-5,00%"
"11.11.2008","19.795,25","20.020,53","20.020,53","19.540,67","165,86M","-1,13%"
"10.11.2008","20.020,53","19.865,48","20.381,19","19.745,23","136,70M","0,78%"
"07.11.2008","19.865,22","19.658,33","20.186,29","19.658,33","146,69M","1,09%"
"06.11.2008","19.650,86","20.446,77","20.446,77","19.602,42","181,09M","-3,89%"
"05.11.2008","20.446,77","21.535,27","21.538,35","20.427,33","183,59M","-5,05%"
"04.11.2008","21.535,27","20.632,88","21.538,05","20.632,88","235,16M","4,48%"
"03.11.2008","20.612,68","20.445,32","20.696,41","20.224,87","174,72M","0,82%"
"31.10.2008","20.445,32","20.207,02","20.454,61","20.016,24","281,09M","1,18%"
"30.10.2008","20.207,02","19.157,91","20.242,72","19.157,91","297,18M","5,48%"
"29.10.2008","19.157,33","18.665,46","19.666,92","18.320,83","326,48M","2,82%"
"28.10.2008","18.632,53","16.867,39","18.832,73","16.867,39","291,78M","10,46%"
"27.10.2008","16.868,66","16.955,85","17.596,03","16.480,01","205,46M","-0,65%"
"24.10.2008","16.978,84","17.795,15","17.795,15","16.616,94","232,87M","-4,61%"
"23.10.2008","17.798,99","18.787,34","19.009,97","17.537,82","283,90M","-5,26%"
"22.10.2008","18.787,34","20.166,62","20.166,62","18.613,45","271,65M","-7,01%"
"21.10.2008","20.203,27","20.759,29","20.794,76","20.101,72","203,15M","-2,80%"
"20.10.2008","20.786,21","20.312,83","20.950,26","20.312,83","203,62M","2,33%"
"17.10.2008","20.312,83","20.464,20","20.945,50","20.118,52","220,39M","-0,71%"
"16.10.2008","20.457,93","21.137,79","21.347,93","20.032,25","289,20M","-3,21%"
"15.10.2008","21.135,42","22.224,65","22.224,65","20.830,94","207,43M","-4,99%"
"14.10.2008","22.244,61","22.186,80","23.398,79","21.899,80","350,35M","0,67%"
"13.10.2008","22.095,89","20.005,03","22.095,89","20.005,03","347,37M","11,01%"
"10.10.2008","19.905,27","20.268,79","20.268,79","19.230,75","427,58M","-1,99%"
"09.10.2008","20.310,20","20.690,45","21.473,71","20.309,53","208,22M","-1,78%"
