"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.05.2011","35.467,01","35.216,45","35.477,90","35.050,28","127,24M","0,72%"
"06.05.2011","35.212,23","35.325,09","35.515,86","35.118,40","171,87M","-0,32%"
"05.05.2011","35.325,09","35.531,19","35.577,27","35.231,39","210,39M","-0,58%"
"04.05.2011","35.531,22","35.880,15","36.002,57","35.418,85","193,87M","-0,95%"
"03.05.2011","35.873,21","36.592,85","36.614,43","35.873,21","167,25M","-1,97%"
"02.05.2011","36.592,61","36.970,46","37.056,85","36.588,41","167,21M","-1,00%"
"29.04.2011","36.962,62","36.709,23","36.963,91","36.684,10","188,64M","0,65%"
"28.04.2011","36.722,64","36.826,26","36.870,44","36.575,79","154,31M","-0,28%"
"27.04.2011","36.826,93","36.889,29","36.895,71","36.719,30","152,21M","-0,18%"
"26.04.2011","36.892,24","36.861,50","36.913,24","36.753,57","148,50M","0,09%"
"25.04.2011","36.860,68","36.816,65","36.977,03","36.791,31","99,70M","0,12%"
"20.04.2011","36.816,31","36.443,67","36.818,62","36.443,67","117,07M","1,03%"
"19.04.2011","36.440,22","36.333,20","36.442,03","36.090,65","129,23M","0,30%"
"18.04.2011","36.332,10","36.990,91","36.990,91","36.255,78","137,09M","-1,77%"
"15.04.2011","36.988,38","37.080,47","37.135,11","36.955,92","145,86M","-0,22%"
"14.04.2011","37.069,96","37.347,69","37.400,62","37.037,97","139,80M","-0,74%"
"13.04.2011","37.347,69","37.339,24","37.496,38","37.200,79","144,50M","0,07%"
"12.04.2011","37.321,80","37.590,43","37.590,43","37.277,84","151,61M","-0,72%"
"11.04.2011","37.590,67","37.473,40","37.762,45","37.466,84","152,47M","0,32%"
"08.04.2011","37.471,72","37.471,54","37.655,80","37.334,50","164,44M","0,00%"
"07.04.2011","37.471,54","37.862,97","37.951,24","37.338,94","230,64M","-1,03%"
"06.04.2011","37.861,81","37.833,95","38.091,18","37.777,42","171,50M","0,08%"
"05.04.2011","37.832,96","37.903,58","38.014,53","37.799,10","176,87M","-0,19%"
"04.04.2011","37.903,58","37.767,00","37.978,88","37.765,82","107,32M","0,34%"
